sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,C,C_T,gpt-4o_sa-conceptnet_0_generated_,gpt-4o_sa-conceptnet_1_generated_,gpt-4o_sa-conceptnet_2_generated_,gpt-4o_sa-conceptnet_0_generated,gpt-4o_sa-conceptnet_0_property,gpt-4o_sa-conceptnet_0_combination_relevance,gpt-4o_sa-conceptnet_0_root_relevance,gpt-4o_sa-conceptnet_0_modifier_relevance,gpt-4o_sa-conceptnet_0_indiv_max,gpt-4o_sa-conceptnet_0_emergence,gpt-4o_sa-conceptnet_1_generated,gpt-4o_sa-conceptnet_1_property,gpt-4o_sa-conceptnet_1_combination_relevance,gpt-4o_sa-conceptnet_1_root_relevance,gpt-4o_sa-conceptnet_1_modifier_relevance,gpt-4o_sa-conceptnet_1_indiv_max,gpt-4o_sa-conceptnet_1_emergence,gpt-4o_sa-conceptnet_2_generated,gpt-4o_sa-conceptnet_2_property,gpt-4o_sa-conceptnet_2_combination_relevance,gpt-4o_sa-conceptnet_2_root_relevance,gpt-4o_sa-conceptnet_2_modifier_relevance,gpt-4o_sa-conceptnet_2_indiv_max,gpt-4o_sa-conceptnet_2_emergence
Contorting and perverting a mind to pair it with another crashed the two together like a boat on the rocks.,a boat on the rocks,boat,rock,strand,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 3)","(3, 2, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.0,False,0.3333333333333333,"{0: ['boat', 'rock'], 1: ['boat', 'rock'], 2: ['boat', 'rock'], 3: ['boat', 'rock'], 4: ['boat', 'rock'], 5: ['boat', 'rock']}",[],"['{""property"": ""stranded""}']","['{""property"": ""stranded""}']","['{""property"": ""stranded""}']",{'property': 'stranded'},stranded,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'stranded'},stranded,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'stranded'},stranded,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556
"You are in love, you want to discover the object of your passion you are getting as yellow as a lettuce without water.",a lettuce without water,lettuce,water,wilted,emergent,"(emergent, emergent, component)","(5, 5, 5)","(3, 4, 4)","(4, 5, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"{0: ['lettuce', 'water'], 1: ['lettuce', 'vegetable'], 2: ['lettuce', 'vegetable'], 3: ['lettuce', 'vegetable'], 4: ['lettuce', 'vegetable'], 5: ['lettuce', 'vegetable']}",['vegetable'],"['{""property"": ""wilted""}']","['{""property"": ""wilted""}']","['{""property"": ""wilted""}']",{'property': 'wilted'},wilted,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'wilted'},wilted,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'wilted'},wilted,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556
,a moth to a candle,moth,candle,irresistible,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 3, 4)","(1, 4, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"{0: ['moth', 'candle'], 1: ['candle', 'moth'], 2: ['candle', 'moth'], 3: ['candle', 'moth'], 4: ['candle', 'moth'], 5: ['candle', 'moth']}",[],"['{""property"": ""attraction""}']","['{""property"": ""attraction""}']","['{""property"": ""attraction""}']",{'property': 'attraction'},attraction,0.8888888888888888,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.0,{'property': 'attraction'},attraction,0.8888888888888888,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.11111111111111105,{'property': 'attraction'},attraction,0.8888888888888888,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.11111111111111105
"This gentleman, convinced that a silvermine without silver is as rare as an effect without a cause, discovered the sparkle of the precious element deep down in the reasons of things.",an effect without a cause,effect,cause,non,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 1, 1)","(4, 1, 1)",0.0,0.0,0.0,0.0,False,0.0,"{0: ['effect', 'cause'], 1: ['cause', 'effect', 'result'], 2: ['cause', 'effect', 'result'], 3: ['cause', 'effect', 'result'], 4: ['cause', 'effect', 'result'], 5: ['cause', 'effect', 'result']}",['result'],"['{""property"": ""paradoxical""}']","['{""property"": ""paradoxical""}']","['{""property"": ""paradoxical""}']",{'property': 'paradoxical'},paradoxical,1.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.6666666666666667,{'property': 'paradoxical'},paradoxical,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,{'property': 'paradoxical'},paradoxical,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667
"The letter may have the germ of life in it, but it has no breath of spring to evoke it winter seeds they are, as hard as the winter's soil, as icy as the winter's air, no thawing nor germinating by them.",the winter's soil,soil,winter,lifeless,emergent,"(component, emergent, emergent)","(4, 4, 5)","(3, 2, 2)","(4, 4, 4)",0.2222222222222222,0.5555555555555556,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['soil', 'winter'], 1: ['ground', 'soil'], 2: ['ground', 'soil'], 3: ['ground', 'soil'], 4: ['ground', 'soil'], 5: ['ground', 'soil']}",['ground'],"['{""property"": ""dormant""}']","['{""property"": ""dormant""}']","['{""property"": ""dormant""}']",{'property': 'dormant'},dormant,0.8888888888888888,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.11111111111111105,{'property': 'dormant'},dormant,0.8888888888888888,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.11111111111111105,{'property': 'dormant'},dormant,0.8888888888888888,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222
"One of the women was like, That's so cute, you look exactly like mormon missionaries. ",mormon missionaries,missionary,mormon,uniformed,emergent,"(component, emergent, emergent)","(4, 3, 5)","(3, 1, 2)","(2, 1, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['missionary', 'mormon'], 1: ['mormon', 'christian', 'missionary', 'mission'], 2: ['mission', 'christian', 'missionary', 'mormon'], 3: ['missionary', 'christian', 'mission', 'mormon'], 4: ['mormon', 'christian', 'missionary', 'mission'], 5: ['mission', 'christian', 'missionary', 'mormon']}","['christian', 'mission']","['{""property"": ""perseverance""}']","['{""property"": ""perseverance""}']","['{""property"": ""persistent""}']",{'property': 'perseverance'},perseverance,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.0,{'property': 'perseverance'},perseverance,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.0,{'property': 'persistent'},persistent,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.0
"As it is, your plans must be somewhat like castles in the air.",castles in the air,castle,air,imaginary,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 5)","(2, 4, 4)",0.8888888888888888,1.0,0.1111111111111111,0.0,False,0.1111111111111111,"{0: ['castle', 'air'], 1: ['building', 'europe'], 2: ['bank'], 3: ['bank'], 4: ['bank'], 5: ['bank']}",['bank'],"['{""property"": ""impractical""}']","['{""property"": ""impractical""}']","['{""property"": ""impractical""}']",{'property': 'impractical'},impractical,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'impractical'},impractical,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'impractical'},impractical,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667
"In strict accordance with the traditions of the navy, he wore kid gloves, without which a naval officer, on a ceremonial occasion, would be as incomplete as a ship without a rudder.",a ship without a rudder,ship,rudder,directionless,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(4, 1, 1)",0.8888888888888888,1.0,0.1111111111111111,0.0,False,0.1111111111111111,"{0: ['ship', 'rudder'], 1: ['rudder', 'ship'], 2: ['rudder', 'ship'], 3: ['rudder', 'ship'], 4: ['rudder', 'ship'], 5: ['rudder', 'ship']}",[],"['{""property"": ""directionless""}']","['{""property"": ""aimlessness""}']","['{""property"": ""directionless""}']",{'property': 'directionless'},directionless,1.0,0.1111111111111111,0.0,0.1111111111111111,0.8888888888888888,{'property': 'aimlessness'},aimlessness,1.0,0.0,0.0,0.0,1.0,{'property': 'directionless'},directionless,1.0,0.2222222222222222,0.0,0.2222222222222222,0.7777777777777778
"Bertha ate sparingly, for her heart was as swollen as a sponge in water.",a sponge in water,sponge,water,swollen,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 4, 3)","(3, 4, 4)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"{0: ['sponge', 'water'], 1: ['bottom of sea', 'sponge', 'water'], 2: ['bottom of sea', 'sponge', 'water'], 3: ['bottom of sea', 'sponge', 'water'], 4: ['bottom of sea', 'sponge', 'water'], 5: ['bottom of sea', 'sponge', 'water']}",['bottom of sea'],"['{""property"": ""saturation""}']","['{""property"": ""buoyancy""}']","['{""property"": ""absorbent""}']",{'property': 'saturation'},saturation,1.0,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.4444444444444444,{'property': 'buoyancy'},buoyancy,0.3333333333333333,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.0,{'property': 'absorbent'},absorbent,1.0,1.0,0.0,1.0,0.0
"Knowing that only one side of the Boonesborough palisade had been completed, and that the warparty was five times as strong as the population of the hamlet, he thought to delay operations by strategy.",the population of the hamlet,population,hamlet,limit,emergent,"(component, emergent, emergent)","(5, 5, 4)","(4, 4, 3)","(3, 5, 3)",0.0,0.3333333333333333,0.5555555555555556,0.0,False,0.5555555555555556,"{0: ['population', 'hamlet'], 1: ['population', 'hamlet'], 2: ['population', 'hamlet'], 3: ['population', 'hamlet'], 4: ['population', 'hamlet'], 5: ['population', 'hamlet']}",[],"['{""property"": ""tight-knit""}']","['{""property"": ""intimacy""}']","['{""property"": ""intimacy""}']",{'property': 'tight-knit'},tight-knit,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444445,{'property': 'intimacy'},intimacy,0.5555555555555556,0.0,0.3333333333333333,0.3333333333333333,0.22222222222222227,{'property': 'intimacy'},intimacy,0.5555555555555556,0.0,0.3333333333333333,0.3333333333333333,0.22222222222222227
